SKU,Title,Description,Order Time,Quantity,Price,Shipping,Order ID
A40503,Nike Air Vapormax White/Purple (Size 10.5) °,,2024-05-10 23:28:22 -0700,1,59.99,9.99,4879
A41807,jordan 5 fire red (Size 11),,2024-05-10 23:19:50 -0700,1,99.99,9.99,4878
A41044,jordan 4 bred (Size 10),,,1,239.99,,4878
A41641,jordan 6 unc (Size 10.5),,,1,129.99,,4878
A41848,Jordan 11 cool grey (Size 10),,,1,129.99,,4878
A41559,Jordan 4 Neon (Size 13) °,,2024-05-10 23:15:19 -0700,1,169.99,9.99,4877
A41283,Jordan 1 Pine Green (Size 10),,2024-05-10 23:03:20 -0700,1,149.99,9.99,4876
A41627,jordan 1 royal (Size 10.5),,2024-05-10 22:46:05 -0700,1,159.99,9.99,4875
A40087,Jordan 1 low white (Size 11),,2024-05-10 21:17:12 -0700,1,89.99,9.99,4874
A41576,Jordan 1 mid grey (Size 12),,2024-05-10 21:09:08 -0700,1,89.99,9.99,4873
A41904,Jordan 1 Visionaries  (Size 12),,2024-05-10 21:06:15 -0700,1,89.99,9.99,4872
A41839,jordan 3 animal (Size 12),,,1,99.99,,4872
A41134,Starfish 13s (Size 12),,,1,99.99,,4872
A41060,jordan 3 black cement (Size 9),,2024-05-10 20:59:38 -0700,1,169.99,9.99,4871
B1114,Gucci embossed cream leather long wallet,,2024-05-10 20:21:55 -0700,1,99.99,9.99,4870
A37053,Jordan 6 Carmine (Size 12) °,,2024-05-10 20:16:03 -0700,1,89.99,9.99,4869
A41872,Jordan 2 Blue (Size 7.5),,2024-05-10 19:54:52 -0700,1,59.99,9.99,4868
A41428,Jordan 3 Unite (Size 3),,2024-05-10 19:45:02 -0700,1,49.99,9.99,4867
A41911,Jordan 3 White Cement (Size 10.5),,2024-05-10 19:00:38 -0700,1,149.99,9.99,4866
A41573,Jordan 12 pink DS (Size 7),,2024-05-10 18:57:16 -0700,1,69.99,9.99,4865
A41882,Jordan 1 Game Royal (Size 10),,2024-05-10 18:50:02 -0700,1,199.99,9.99,4864
A41391,Motorsport 4s (Size 10.5),,2024-05-10 18:35:29 -0700,1,159.99,9.99,4863
A41059,onyx foam runner (Size 12),,2024-05-10 18:28:48 -0700,1,89.99,9.99,4862
A40167,Yeezy 350 Zebra (Size 11.5),,,1,149.99,,4862
A41871,Nike Air FOG (Size 10.5),,2024-05-10 18:25:24 -0700,1,59.99,9.99,4861
A37576,Jordan 1 Mid Black (Size 10),,2024-05-10 18:14:07 -0700,1,89.99,9.99,4860
A35736,Dunk high undercover  (Size 12),,2024-05-10 17:40:18 -0700,1,69.99,9.99,4859
A41238,Supreme Tailwind (Size 12),,,1,69.99,,4859
A41237,Tom Sachs (Size 12.5),,,1,69.99,,4859
A40702,dunk miami (Size 10.5) °,,2024-05-10 17:33:15 -0700,1,79.99,9.99,4858
A41836,jordan 12 flu game (Size 13),,2024-05-10 16:49:36 -0700,1,119.99,9.99,4857
A41847,jordan 3 muslin (Size 12),,2024-05-10 16:31:52 -0700,1,109.99,9.99,4856
A41474,Jordan 3 mocha (Size 9) °,,2024-05-10 15:44:45 -0700,1,119.99,9.99,4855
A41409,Giannis black (Size 11),,2024-05-10 15:16:00 -0700,1,49.99,9.99,4854
A40685,Nike sb dunk low blk gum (Size 14),,,1,89.99,,4854
A41476,Foamposite Blue (Size 11.5) °,,,1,89.99,,4854
A41454,Fearless 1s (Size 9) °,,2024-05-10 15:13:16 -0700,1,149.99,9.99,4853
A40496,Nike Air Vapormax Purple/Blue (Size 10) °,,2024-05-10 14:48:21 -0700,1,59.99,9.99,4852
A35517,Nike AF1 LVSM (Size 11.5),,2024-05-10 14:20:28 -0700,1,59.99,9.99,4851
A41842,jordan 5 camo (Size 13),,2024-05-10 12:31:19 -0700,1,99.99,9.99,4850
A41844,jordan 3 cement (Size 12),,,1,69.99,,4850
A36411,FoamPosite Navy (Size 9),,2024-05-10 12:13:31 -0700,1,109.99,9.99,4849
A37794,Jordan 3 Black Cement (Size 8.5),,,1,159.99,,4849
A40384,jordan 6 dmp (Size 9),,2024-05-10 12:03:22 -0700,1,119.99,9.99,4848
A41917,Jordan 7 Pure Money (Size 10),,2024-05-10 11:35:58 -0700,1,99.99,9.99,4847
A41397,Jordan 1 mid gold (Size 14) °,,2024-05-10 10:54:21 -0700,1,79.99,9.99,4846
A38216,Jordan 3 unite (Size 14),,,1,109.99,,4846
A40385,Jordan 10 Chicago (Size 8.5),,2024-05-10 08:26:39 -0700,1,99.99,9.99,4845
A41068,onyx foam runner (Size 8) °,,2024-05-10 07:17:23 -0700,1,79.99,9.99,4844
A41948,Jordan 14 Supreme  (Size 12),,2024-05-10 06:50:19 -0700,1,219.99,9.99,4843
A41040,Jordan 11 low bred (Size 10.5),,2024-05-10 06:37:44 -0700,1,79.99,9.99,4842
A41868,Jordan 5 Fire Red (Size 10),,2024-05-10 05:53:04 -0700,1,69.99,9.99,4841
A41544,Jordan 11 bred (Size 7.5) °,,2024-05-10 05:32:54 -0700,1,149.99,9.99,4840
A41222,Unc to chi 1s (Size 10),,2024-05-10 05:31:58 -0700,1,89.99,9.99,4839
A41903,Yeezy 350 Oreo (Size 11),,2024-05-10 05:13:40 -0700,1,199.99,9.99,4838
